Date,Open,High,Low,Close,Volume,NumberOfTrades,Sentiment,SampleSize,SentimentClass,SentimentRegime
01-Jan-2018,13715.65,13818.55,12750,13380,8609.915844,105595,0.250099480103979,5001,Positive,1
02-Jan-2018,13382.16,15473.49,12890.02,14675.11,20078.092111,177728,0.228491490658002,4924,Neutral,0
03-Jan-2018,14690,15307.56,14150,14919.51,15905.667639,162787,0.217473154941735,4634,Neutral,0
04-Jan-2018,14919.51,15280,13918.04,15059.54,21329.649574,170310,0.186253570100409,5378,Negative,-1
05-Jan-2018,15059.56,17176.24,14600,16960.39,23251.491125,192969,0.223695170984456,4825,Neutral,0
06-Jan-2018,16960.39,17143.13,16011.21,17069.79,18571.457508,158242,0.265162197717161,5169,Positive,1
07-Jan-2018,17069.79,17099.96,15610,16150.03,12493.125558,120269,0.245769784026079,4908,Positive,1
08-Jan-2018,16218.85,16322.3,12812,14902.54,26600.609912,208642,0.208523362696285,5222,Negative,-1
09-Jan-2018,14902.54,15500,14011.05,14400,14315.004253,156656,0.195042815249265,5115,Negative,-1
10-Jan-2018,14401,14955.66,13131.31,14907.09,17411.001655,161476,0.186822627876021,5259,Negative,-1
11-Jan-2018,14940,14968.68,11400,13238.78,33554.723751,239416,0.184931591448931,5052,Negative,-1
12-Jan-2018,13238.76,14109.78,12500,13740.01,16417.162137,134452,0.219423463687151,5191,Neutral,0
13-Jan-2018,13749.95,14580,13706.15,14210,12221.508528,123639,0.234877462834488,5045,Neutral,0
14-Jan-2018,14210,14339.5,12569.2,13474.99,17017.894329,152364,0.184905822586949,5118,Negative,-1
15-Jan-2018,13477.98,14249.99,13147.79,13539.93,14652.094705,145362,0.202118423626051,5113,Negative,-1
16-Jan-2018,13500,13542.93,9035,10900,63401.169175,418243,0.153524363932425,4913,Negative,-1
17-Jan-2018,10899.99,11680.99,9037.94,10988.79,72331.796646,517293,0.181482234241731,4807,Negative,-1
18-Jan-2018,10972.59,11878.82,10435.33,10961.97,48464.434937,393112,0.197991713709679,4960,Negative,-1
19-Jan-2018,10960,11795,10360,11474.98,34129.375421,273271,0.178933470266041,5112,Negative,-1
20-Jan-2018,11474.98,13099,11412.45,12799.94,28768.857827,251647,0.254212836519705,5126,Positive,1
21-Jan-2018,12799.8,12799.8,10965,11530,41379.773426,360207,0.268486958219443,5122,Positive,1
22-Jan-2018,11530,11926.35,9900.24,10760.05,43752.606791,363264,0.184382109997956,4891,Negative,-1
23-Jan-2018,10760.05,11399,9905,10799.18,37473.922552,355286,0.232709786106379,5283,Neutral,0
24-Jan-2018,10799.14,11570.48,10500,11349.99,27158.587762,293429,0.249533871602995,5078,Positive,1
25-Jan-2018,11349.96,11794.05,10950.21,11175.27,20839.954183,221040,0.258383646112601,5222,Positive,1
26-Jan-2018,11184.7,11643,10311.15,11089,33056.87196,314720,0.226649005318102,5077,Neutral,0
27-Jan-2018,11089,11650,10842.69,11491,18860.768345,207478,0.279503124353404,4833,Positive,1
28-Jan-2018,11499.98,12244,11408,11879.95,16887.339524,206247,0.25753833266853,5014,Positive,1
29-Jan-2018,11879.95,11975.02,11139.55,11251,14170.377538,169199,0.232000516635669,4839,Neutral,0
30-Jan-2018,11250.11,11308.42,9900,10237.51,25554.372946,259212,0.184689995949779,4938,Negative,-1
31-Jan-2018,10230,10425.85,9700,10285.1,18015.956805,201422,0.182177215967248,4885,Negative,-1
01-Feb-2018,10285.1,10335,8750.99,9224.52,33564.764311,316020,0.204761893112534,5314,Negative,-1
02-Feb-2018,9224.52,9250,8010.02,8873.03,49971.626975,453411,0.165859300377043,4774,Negative,-1
03-Feb-2018,8873.03,9473.01,8229,9199.96,28725.000735,327519,0.222111261352169,4955,Neutral,0
04-Feb-2018,9199.96,9368,7930,8184.81,32014.308449,356134,0.206245376102041,5331,Negative,-1
05-Feb-2018,8179.99,8382.8,6625,6939.99,63403.182579,533510,0.0446028755760375,5425,Negative,-1
06-Feb-2018,6939.63,7878,6000.01,7652.14,100201.500307,785996,0.193580350084699,5313,Negative,-1
07-Feb-2018,7655.02,8476,7150.01,7599,60778.460497,514893,0.206308104738153,4812,Negative,-1
08-Feb-2018,7599,7844,7572.09,7784.02,1521.537318,12417,0.207364120922833,5028,Negative,-1
09-Feb-2018,7789.9,8738,7789.9,8683.92,20482.910825,273091,0.189911670930919,5081,Negative,-1
10-Feb-2018,8683.93,9065.78,8120,8533.98,49381.512653,537578,0.18895871047737,4839,Negative,-1
11-Feb-2018,8533.99,8549,7726.53,8063.88,45025.187952,524626,0.240190313272876,4852,Neutral,0
12-Feb-2018,8063.82,8989,8053,8903,41987.85049,477660,0.234665993472051,4902,Neutral,0
13-Feb-2018,8903,8950,8351,8539.9,35454.972956,401893,0.214761333077216,5206,Neutral,0
14-Feb-2018,8535.17,9489.6,8533,9449.99,40811.952867,514897,0.257710508338356,4977,Positive,1
15-Feb-2018,9449.98,10219.5,9301.5,10000.09,52427.596715,608349,0.234593204275054,4959,Neutral,0
16-Feb-2018,10000.89,10323.37,9666,10159.98,38161.205974,405310,0.244232575757576,4620,Positive,1
17-Feb-2018,10156.07,11075.07,10050,11039.55,41882.108407,413585,0.255128697109343,4774,Positive,1
18-Feb-2018,11039.55,11274,10080,10383.43,61137.380728,537534,0.172803548770817,5044,Negative,-1
19-Feb-2018,10375.01,11250,10270.33,11153,40831.417131,366882,0.227432100474682,5056,Neutral,0
20-Feb-2018,11147.11,11786.01,11100.59,11200.99,48153.354288,432197,0.218009223107568,5020,Neutral,0
21-Feb-2018,11195.07,11304.03,10200,10437.6,68113.818754,542340,0.172841628873773,5292,Negative,-1
22-Feb-2018,10439.02,10933.44,9679,9811.04,67060.166483,506273,0.258709654207476,5003,Positive,1
23-Feb-2018,9815.55,10435,9570.19,10131.04,57202.70237,467480,0.288325208416037,5038,Positive,1
24-Feb-2018,10131.04,10496.97,9352,9694.51,40888.156299,337918,0.300664071977357,4946,Positive,1
25-Feb-2018,9694.51,9847,9274.8,9590,28373.517586,233567,0.307652600818236,5133,Positive,1
26-Feb-2018,9590,10444.32,9350,10324,34878.292756,285276,0.253411447876448,5180,Positive,1
27-Feb-2018,10321,10870,10121,10569.04,30705.385123,240542,0.274239953943582,5211,Positive,1
28-Feb-2018,10584.33,11098,10300,10326.76,30800.983782,277886,0.245575380388841,4732,Positive,1
01-Mar-2018,10325.64,11060.41,10240,10920,25092.55393,230428,0.284554449027698,5091,Positive,1
02-Mar-2018,10923.36,11200,10770,11039,23910.71009,211691,0.201042874039029,5073,Negative,-1
03-Mar-2018,11038.99,11544,11015.01,11464.48,21287.15328,190444,0.257515973971452,4764,Positive,1
04-Mar-2018,11464.47,11565,11050.02,11515,17295.918653,168359,0.266310446247466,4930,Positive,1
05-Mar-2018,11515,11710,11415.01,11454,15144.231063,164318,0.232614271047228,4870,Neutral,0
06-Mar-2018,11455,11455,10555.48,10716.48,29515.572363,250306,0.225660149767254,4941,Neutral,0
07-Mar-2018,10716.48,10899,9389.31,9910,50647.67108,396721,0.180509423233142,4924,Negative,-1
08-Mar-2018,9910,10099,9060,9271.64,41109.473226,336514,0.215010578643865,5029,Neutral,0
09-Mar-2018,9267.07,9410,8329,9227,64112.291407,462712,0.220119190705128,4992,Neutral,0
10-Mar-2018,9230,9490,8667.07,8770.22,37180.012857,288066,0.21897106683271,4818,Neutral,0
11-Mar-2018,8770.22,9740,8450,9533.57,44325.973386,333367,0.241543745949449,4629,Neutral,0
12-Mar-2018,9533.57,9888.88,8780,9131.34,42230.77793,336642,0.208535750586395,5116,Negative,-1
13-Mar-2018,9131.34,9474,8823,9150,40191.409358,342734,0.280525222613377,4829,Positive,1
14-Mar-2018,9151.92,9333.78,7900.28,8170,49708.094108,399127,0.18782068131425,4961,Negative,-1
15-Mar-2018,8184.01,8430,7650,8240.98,52291.022277,400529,0.226069454317375,4783,Neutral,0
16-Mar-2018,8240.98,8611.64,7900,8260,38815.409893,255807,0.211187402897334,4763,Negative,-1
17-Mar-2018,8260,8348.62,7721.99,7824.8,33110.206329,292041,0.236660904822877,4686,Neutral,0
18-Mar-2018,7824.01,8317.4,7322,8189.99,59488.231711,423336,0.217259667828583,4877,Neutral,0
19-Mar-2018,8189,8705.23,8088.4,8600,55297.084942,360414,0.250996538936959,4854,Positive,1
20-Mar-2018,8595.01,9050,8280,8909.98,44865.105835,298261,0.215922502564103,4875,Neutral,0
21-Mar-2018,8909.96,9177.01,8750.6,8885,39972.405371,293696,0.231691697297297,4625,Neutral,0
22-Mar-2018,8884.82,9100,8465.1,8722.9,40617.556809,276449,0.235465390342481,4701,Neutral,0
23-Mar-2018,8720,8909,8269,8898.03,39991.007666,278571,0.263478941753784,4687,Positive,1
24-Mar-2018,8898.04,8999.95,8491,8546.86,35466.609572,270300,0.262616757493187,4404,Positive,1
25-Mar-2018,8531.25,8669.85,8365.77,8470.15,29001.769316,215660,0.282811266022037,4447,Positive,1
26-Mar-2018,8470.14,8514.89,7831,8134.23,44033.59566,310462,0.221936348302762,4743,Neutral,0
27-Mar-2018,8134.22,8215.94,7730,7795.51,37427.64805,266540,0.281476292841208,4931,Positive,1
28-Mar-2018,7795.51,8109,7728,7949.3,26401.33167,183620,0.302315738845684,4886,Positive,1
29-Mar-2018,7949.3,7975,6941.11,7090.14,54620.915125,359537,0.194790965920548,4959,Negative,-1
30-Mar-2018,7090.16,7292.43,6600.1,6840.23,65306.031976,400057,0.228817827476039,4695,Neutral,0
31-Mar-2018,6840.24,7223.36,6777,6923.91,36868.539087,240293,0.230531585466556,4844,Neutral,0
01-Apr-2018,6922,7049.98,6430,6813.01,44071.430463,260942,0.242166212121212,4620,Neutral,0
02-Apr-2018,6813.01,7125,6765,7056,32123.560072,206780,0.227172184412734,4555,Neutral,0
03-Apr-2018,7063.97,7520,7011.01,7405.21,37787.331811,248143,0.201030914962325,4645,Negative,-1
04-Apr-2018,7405.21,7427.52,6707,6796.1,42227.183804,277249,0.210066585419898,4513,Negative,-1
05-Apr-2018,6796.1,6902,6566.69,6770.76,39029.73146,238476,0.18898574441164,4742,Negative,-1
06-Apr-2018,6770,6850,6500,6601.39,27455.01192,162456,0.227177091847708,4649,Neutral,0
07-Apr-2018,6601.39,7070,6586.28,6895.8,32269.578267,178577,0.236662635264163,4713,Neutral,0
08-Apr-2018,6895.81,7109.13,6880,7018,21427.673165,152461,0.204633787583819,4623,Negative,-1
09-Apr-2018,7011.04,7185,6611,6782.72,34078.297206,212669,0.178766012244035,4737,Negative,-1
10-Apr-2018,6781.55,6890,6656,6843.9,22326.728095,147755,0.221048484848485,4521,Neutral,0
11-Apr-2018,6839.56,6990,6787,6953.79,23997.871177,155607,0.214315961622329,4586,Neutral,0
12-Apr-2018,6953.78,8012.23,6743.2,7923,64861.595987,404588,0.254984156913741,4614,Positive,1
13-Apr-2018,7922.99,8233.39,7732,7877.41,55044.523148,351905,0.239558664299977,4507,Neutral,0
14-Apr-2018,7877.48,8186,7810,7999.01,31621.286357,194500,0.307447886737453,4803,Positive,1
15-Apr-2018,8004,8429.54,7999.02,8355,27946.720444,181778,0.291013893728224,4592,Positive,1
16-Apr-2018,8355.07,8419,7867,8064.92,36664.069715,226748,0.264331960996749,4615,Positive,1
17-Apr-2018,8064.92,8173.7,7825.4,7885.02,32152.603567,221228,0.199907375537799,4881,Negative,-1
18-Apr-2018,7890.96,8236.43,7868,8173,26969.04457,183472,0.174243144278607,5025,Negative,-1
19-Apr-2018,8173.99,8296,8080,8278,27113.847464,196821,0.245921584460934,4582,Positive,1
20-Apr-2018,8273.84,8930,8177.09,8856.98,39795.337485,289687,0.260573813708261,4552,Positive,1
21-Apr-2018,8852.12,9035,8565,8915.31,40872.229909,295374,0.27540313174946,4630,Positive,1
22-Apr-2018,8915.31,9020.67,8727.68,8787.02,29458.25348,229871,0.27750174778761,4520,Positive,1
23-Apr-2018,8785.7,8985,8745,8934.01,25838.114709,190944,0.218633665609425,4414,Neutral,0
24-Apr-2018,8934,9731.01,8922,9619.99,46268.790106,326608,0.223732943143814,4784,Neutral,0
25-Apr-2018,9618.96,9759.82,8730,8869.99,81110.037589,477363,0.204002943741823,4586,Negative,-1
26-Apr-2018,8869.99,9307.48,8651.62,9266,43300.304245,285850,0.241789417412175,4583,Neutral,0
27-Apr-2018,9267.03,9395,8889,8915.35,37241.347036,268471,0.248711860854987,4772,Positive,1
28-Apr-2018,8915.35,9427.48,8870,9348,34759.62842,257288,0.284050419987079,4643,Positive,1
29-Apr-2018,9348,9570.51,9163.74,9419,38149.850035,311494,0.271791548373007,4579,Positive,1
30-Apr-2018,9417.04,9458.64,9124.99,9246.01,35002.033875,285951,0.252353768144758,5029,Positive,1
01-May-2018,9246.01,9248.99,8800.49,9071.48,41018.463633,268741,0.26123530595813,4968,Positive,1
02-May-2018,9071.48,9268,8970.2,9247.84,26123.543961,188258,0.266472379888268,4475,Positive,1
03-May-2018,9247.81,9844,9168.4,9750,38768.388288,282581,0.255943362049922,4527,Positive,1
04-May-2018,9750,9830.04,9520.85,9713.99,28681.588879,210165,0.219743557279966,4897,Neutral,0
05-May-2018,9714,10020,9682,9864,24990.018345,212076,0.211467957166392,4856,Negative,-1
06-May-2018,9863.99,9970,9417.03,9659.01,27690.351559,229309,0.224176628521126,4544,Neutral,0
07-May-2018,9661.02,9689.67,9181,9365,33787.640012,230754,0.162660805480589,4817,Negative,-1
08-May-2018,9365,9475.7,9060.54,9187.56,25533.831889,189159,0.23478909887071,4339,Neutral,0
09-May-2018,9178,9390,8965,9310,25673.524899,192337,0.256940699011268,4349,Positive,1
10-May-2018,9310,9395.12,8970,9002.2,25055.063718,221075,0.254611481888037,4555,Positive,1
11-May-2018,9002.21,9016.8,8341,8400,48227.048061,365538,0.208262958115185,4584,Negative,-1
12-May-2018,8405.94,8646.88,8153,8465.94,40241.32081,310305,0.239216485582949,4786,Neutral,0
13-May-2018,8475.44,8763.36,8298,8679.71,25632.869362,215590,0.304855004152825,4816,Positive,1
14-May-2018,8679.71,8879.99,8277,8663.34,37389.666533,292731,0.26310517979452,4672,Positive,1
15-May-2018,8663.37,8859.99,8401.3,8462,28126.956136,360379,0.242605607476636,4708,Neutral,0
16-May-2018,8462,8488,8083.01,8330,31130.718908,300842,0.247866259168703,4908,Positive,1
17-May-2018,8330,8464,7979,8041.46,25439.844799,310780,0.216087186036612,4698,Neutral,0
18-May-2018,8038.82,8273.21,7911.9,8239.81,23476.158251,183913,0.253609017746596,4846,Positive,1
19-May-2018,8238.01,8390.8,8095.73,8233.49,17193.424276,134185,0.249382047901559,4551,Positive,1
20-May-2018,8233.49,8609,8163.9,8526.98,19957.057109,161265,0.283315981077744,4862,Positive,1
