Metric,Value
InitialCapital,10000
TransactionCost,0.001
LagOrder,5
PredictionHorizon,1
SelectedThreshold,0.009
TrainObservations,826
ValidationObservations,177
TestObservations,178
ValidationRMSE,0.0292092099380909
ValidationMAE,0.0191598455561678
ValidationR2,0.00065245165535599
ValidationDirectionalAccuracy,0.649717514124294
ValidationSharpeAtSelectedThreshold,3.31415346896456
TestRMSE,0.0425174394812122
TestMAE,0.030868539240699
TestMSE,0.00180773266003854
TestR2,-0.0756590592786848
TestDirectionalAccuracy,0.48876404494382
AR5FinalCapital,9884.86000354703
AR5ReturnPct,-1.15139996452972
AR5Sharpe,-0.0857092416510321
AR5Sortino,-0.131091559343729
AR5MaxDrawdownPct,-7.24833850306766
AR5WinRate,40
AR5ProfitFactor,0.956105516410727
AR5Trades,18
BuyHoldFinalCapital,54410.0235262286
BuyHoldReturnPct,444.100235262286
BuyHoldSharpe,4.82734864281285
BuyHoldMaxDrawdownPct,-25.1748461971953
BuySignals,4
HoldSignals,168
SellSignals,6
