Metric,Value
TestObservations,178
TestStart,738069
TestEnd,738246
RMSE,0.0425174394812122
MAE,0.030868539240699
MSE,0.00180773266003854
R2,-0.0756590592786845
DirectionalAccuracy,0.48876404494382
PredictionCorrelation,-0.00254797216641456
InitialCapital,10000
FinalCapital,9884.86000354703
StrategyReturnPct,-1.1513999645297
Sharpe,-0.0857092416510302
Sortino,-0.131091559343726
MaxDrawdownPct,-7.24833850306766
WinRate,0.4
ProfitFactor,0.956105516410728
NumberTrades,18
BuySignals,4
HoldSignals,168
SellSignals,6
BuyHoldFinalCapital,54410.0235262285
BuyHoldReturnPct,444.100235262285
BuyHoldSharpe,4.82734864281285
BuyHoldMaxDrawdownPct,-25.1748461971953
ReturnDifferencePercentagePoints,-445.251635226815
SharpeDifference,-4.91305788446388
DrawdownDifferencePercentagePoints,17.9265076941277
