Percentile,Threshold,Trades,Return,Sharpe,MaxDrawdown,Model
5,0.000256652393377174,118,0.446412886825013,1.66120831628291,-0.354683131359835,AR5
10,0.00054218399945421,121,0.29278858414697,1.24727477626943,-0.354683131359835,AR5
15,0.00069776619931165,126,0.256853573061507,1.14277506705129,-0.354683131359835,AR5
20,0.000860424789192866,131,0.478705704041728,1.85990495206958,-0.354683131359835,AR5
25,0.00105564537133296,131,0.340017350115143,1.46063111313972,-0.354683131359835,AR5
30,0.00133285562693928,136,0.29162111659243,1.30632081646449,-0.357451988349398,AR5
35,0.00159349098837718,133,0.349720085747241,1.51288015704284,-0.324578452348727,AR5
40,0.00168786452679041,126,0.147740652059342,0.824184210215445,-0.333354884628304,AR5
45,0.00187997369509982,116,0.0630692512186304,0.481096927911328,-0.311383281921041,AR5
50,0.00201488639916365,112,0.0554885025763878,0.448285269191809,-0.311383281921041,AR5
5,0.000812350688870603,52,-0.4195607197221,-1.81032516329579,-0.495718047185576,OriginalRidge
10,0.00128238785498993,61,-0.367750441041383,-1.49479306865583,-0.495718047185576,OriginalRidge
15,0.00198191023953433,65,-0.172420477253904,-0.540556555936561,-0.394884991423966,OriginalRidge
20,0.00256549574719167,69,-0.30613528409891,-1.39849497679846,-0.394884991423966,OriginalRidge
25,0.00310732661926458,73,-0.261947607428381,-1.14516201911322,-0.382222366661436,OriginalRidge
30,0.00376655168763258,73,-0.304443875939381,-1.4346664480465,-0.387413041254261,OriginalRidge
35,0.00422970939575245,71,-0.354325795958507,-1.79904640807211,-0.422166044462209,OriginalRidge
40,0.00467105121496377,69,-0.299322764567313,-1.44745755400643,-0.405777122996579,OriginalRidge
45,0.00523185257703794,71,-0.362438622911959,-1.94289082577527,-0.414916689806232,OriginalRidge
50,0.00604182448085561,62,-0.345086735664458,-1.83458470998455,-0.398887035454537,OriginalRidge
5,0.000451145889809558,63,-0.139012381361357,-0.316923128099707,-0.353531908751235,ReducedRidge
10,0.00107549870649235,69,-0.169890086968296,-0.472011314555774,-0.372987235335258,ReducedRidge
15,0.00174694465209791,71,-0.121982316400845,-0.268656977167949,-0.345860456598538,ReducedRidge
20,0.0022968427617994,72,-0.149163773488415,-0.426361484046202,-0.34173415870381,ReducedRidge
25,0.0028387634821546,73,-0.103165873557762,-0.248110482130164,-0.279483425415661,ReducedRidge
30,0.00333871022612395,74,-0.125676262342798,-0.396698340344021,-0.319412392161954,ReducedRidge
35,0.00395491791621712,74,-0.163247284411389,-0.601791725102282,-0.319412392161953,ReducedRidge
40,0.00450088997749769,74,-0.247922184466935,-1.2629991207512,-0.321756304138947,ReducedRidge
45,0.0049496988269603,71,-0.206915423379896,-1.07666493302835,-0.319977675650692,ReducedRidge
50,0.0054974363226157,70,-0.130611229904511,-0.607218464264606,-0.275375560104737,ReducedRidge
