Threshold,ValidationReturn,ValidationSharpe,ValidationSortino,ValidationMaxDrawdown,ValidationWinRate,ValidationTrades
0.0001,0.140865438295815,0.770985988050063,0.874130783625304,-0.255738073285897,0.50920245398773,43
0.0002,0.320936128942808,1.41271600504979,1.70080711323254,-0.192620428052215,0.523489932885906,54
0.0003,0.587402120720477,2.40726465996174,3.54767625219342,-0.112195473328922,0.5390625,64
0.0004,0.31558176060102,1.63078757717672,2.34716481951308,-0.0974270974505088,0.518867924528302,70
0.0005,0.254440327122867,1.64958830621622,2.03374029718213,-0.0852272281133678,0.552941176470588,61
0.0006,0.253120974139267,1.66356081176953,1.91805110471135,-0.072547812017126,0.554054054054054,51
0.0007,0.17177674178445,1.45045485737184,1.58614465008998,-0.0615828949161763,0.537037037037037,43
0.0008,0.0905854997007072,1.05326481865525,0.856569496196684,-0.0615828949161763,0.551020408163265,39
0.0009,0.0634869304804742,0.793071015108159,0.620343174242233,-0.0615828949161763,0.560975609756098,43
0.001,0.0898407795945149,1.2305211278777,0.91770133507649,-0.0576474215363784,0.566666666666667,33
0.0011,0.0650873367784082,0.975878897089624,0.599507642351754,-0.0529908354767671,0.590909090909091,25
0.0012,0.0594645447806199,0.958943071047648,0.601425412158203,-0.0539378446412905,0.6,27
0.0013,0.139616352507151,2.76089228305307,3.62022559459164,-0.0137603923047859,0.909090909090909,21
0.0014,0.0278836521236416,1.2853948225154,0.522423745448607,-0.0137603923047858,0.8,9
0.0015,0.0343926629725033,1.76701776563184,3.69101145975189,-0.00100000000000011,1,4
0.0016,0.0247359948546129,1.37893314556104,2.67272709498301,-0.00099999999999989,1,2
0.0017,0.0247359948546129,1.37893314556104,2.67272709498301,-0.00099999999999989,1,2
0.0018,0.0247359948546129,1.37893314556104,2.67272709498301,-0.00099999999999989,1,2
0.0019,0.0247359948546129,1.37893314556104,2.67272709498301,-0.00099999999999989,1,2
0.002,0,0,0,0,0,0
0.0021,0,0,0,0,0,0
0.0022,0,0,0,0,0,0
0.0023,0,0,0,0,0,0
0.0024,0,0,0,0,0,0
0.0025,0,0,0,0,0,0
0.0026,0,0,0,0,0,0
0.0027,0,0,0,0,0,0
0.0028,0,0,0,0,0,0
0.0029,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.0031,0,0,0,0,0,0
0.0032,0,0,0,0,0,0
0.0033,0,0,0,0,0,0
0.0034,0,0,0,0,0,0
0.0035,0,0,0,0,0,0
0.0036,0,0,0,0,0,0
0.0037,0,0,0,0,0,0
0.0038,0,0,0,0,0,0
0.0039,0,0,0,0,0,0
0.004,0,0,0,0,0,0
0.0041,0,0,0,0,0,0
0.0042,0,0,0,0,0,0
0.0043,0,0,0,0,0,0
0.0044,0,0,0,0,0,0
0.0045,0,0,0,0,0,0
0.0046,0,0,0,0,0,0
0.0047,0,0,0,0,0,0
0.0048,0,0,0,0,0,0
0.0049,0,0,0,0,0,0
0.005,0,0,0,0,0,0
0.0051,0,0,0,0,0,0
0.0052,0,0,0,0,0,0
0.0053,0,0,0,0,0,0
0.0054,0,0,0,0,0,0
0.0055,0,0,0,0,0,0
0.0056,0,0,0,0,0,0
0.0057,0,0,0,0,0,0
0.0058,0,0,0,0,0,0
0.0059,0,0,0,0,0,0
0.006,0,0,0,0,0,0
0.0061,0,0,0,0,0,0
0.0062,0,0,0,0,0,0
0.0063,0,0,0,0,0,0
0.0064,0,0,0,0,0,0
0.0065,0,0,0,0,0,0
0.0066,0,0,0,0,0,0
0.0067,0,0,0,0,0,0
0.0068,0,0,0,0,0,0
0.0069,0,0,0,0,0,0
0.007,0,0,0,0,0,0
0.0071,0,0,0,0,0,0
0.0072,0,0,0,0,0,0
0.0073,0,0,0,0,0,0
0.0074,0,0,0,0,0,0
0.0075,0,0,0,0,0,0
0.0076,0,0,0,0,0,0
0.0077,0,0,0,0,0,0
0.0078,0,0,0,0,0,0
0.0079,0,0,0,0,0,0
0.008,0,0,0,0,0,0
0.0081,0,0,0,0,0,0
0.0082,0,0,0,0,0,0
0.0083,0,0,0,0,0,0
0.0084,0,0,0,0,0,0
0.0085,0,0,0,0,0,0
0.0086,0,0,0,0,0,0
0.0087,0,0,0,0,0,0
0.0088,0,0,0,0,0,0
0.0089,0,0,0,0,0,0
0.009,0,0,0,0,0,0
0.0091,0,0,0,0,0,0
0.0092,0,0,0,0,0,0
0.0093,0,0,0,0,0,0
0.0094,0,0,0,0,0,0
0.0095,0,0,0,0,0,0
0.0096,0,0,0,0,0,0
0.0097,0,0,0,0,0,0
0.0098,0,0,0,0,0,0
0.0099,0,0,0,0,0,0
0.01,0,0,0,0,0,0
