Factor,TrainMean,ValidationMean,TestMean,TrainStd,ValidationStd,TestStd,TrainMedian,ValidationMedian,TestMedian,ValidationMeanShiftZ,TestMeanShiftZ,TestToTrainStdRatio,TrainMin,TrainMax,ValidationMin,ValidationMax,TestMin,TestMax
Return,-0.000173366268419046,0.00292101195487373,0.0104556686898986,0.0421031202488454,0.0292940905643939,0.0411027004361228,0.000568190475690233,0.00392041100332574,0.00717587855625323,0.0734952232757056,0.252452428596647,0.976238820144213,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
LogReturn,-0.00109604192547339,0.00249474678917708,0.00958432647413938,0.0435436452334053,0.0291084608762922,0.0404882900763678,0.000568027150103186,0.00391274621831551,0.00715014838259593,0.0824641275530084,0.245279611809329,0.929832352329256,-0.502606942741459,0.15868403825725,-0.116035765546888,0.126043628251023,-0.139496401934425,0.178448559704283
ReturnLag1,5.00246389485638e-05,0.0025248817249815,0.0105226290840815,0.0422834750184875,0.0296450816473847,0.0410951108709529,0.000658395093846131,0.00359290406576807,0.00769927949337101,0.0585301251836767,0.247676058804392,0.97189530550611,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
ReturnLag2,7.41727749609601e-05,0.0024803642578004,0.0103992631805684,0.0422831035902988,0.0296588568669277,0.0411016386250603,0.000698569918583525,0.00359290406576807,0.00717587855625323,0.0569066903450178,0.244189511386206,0.972058225037445,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
ReturnLag3,6.67555197852132e-05,0.00263499470905778,0.0101863594454034,0.0422796528326011,0.0296931186887339,0.0410804487449758,0.000698569918583525,0.00392041100332574,0.00666789692006986,0.0607440936055237,0.239349267263025,0.971636378085379,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
ReturnLag5,0.000106379878084145,0.0031133906453486,0.0099943244480403,0.0423378449006578,0.0302953814364208,0.0411306579921751,0.000711289355299183,0.00392357956220235,0.00662263264729456,0.071024181186363,0.233548603930063,0.971486812535799,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
ReturnLag7,9.93868601805055e-05,0.00311182612266951,0.00972915090212276,0.0423823932669466,0.0303188932954366,0.040820414929394,0.000711289355299183,0.00392357956220235,0.00662263264729456,0.071077611014439,0.227211426718849,0.963145584353522,-0.395048471741202,0.171967591252147,-0.10955662446635,0.13433165610972,-0.130203847217637,0.195361391948436
Momentum3,-0.000268165176210808,0.00777040015064134,0.0315429819641867,0.0705765333220337,0.0477434562417016,0.0697488390045118,0.000822084321988936,0.00353286787279061,0.0325810756652671,0.113898557331698,0.450732639349774,0.988272386322162,-0.394693733945197,0.285672271231624,-0.129504159402413,0.15644697938728,-0.157819808049243,0.232693659731824
Momentum5,-2.19904088548186e-06,0.0126429639832742,0.0524516999916859,0.0925163449312517,0.0570070324367154,0.091485833056163,7.8683947337621e-05,0.00832101308063971,0.0464291485788433,0.136680313446842,0.566968994198263,0.98886129931036,-0.45986456103868,0.3012080590718,-0.139722713611928,0.169696202531646,-0.193903105407433,0.256757378712639
Momentum7,-0.000242380283906265,0.0185317774838824,0.0732483720229624,0.110813365939475,0.0684299744212949,0.111770204300875,-6.22113209183261e-05,0.0104245511301662,0.0660010630499451,0.169421419597008,0.663193935892249,1.00863468367094,-0.469887395247541,0.41470629864005,-0.150589206314057,0.232055791184454,-0.213781844766382,0.383582398423002
Momentum14,-0.000885346231453854,0.0411837667297115,0.152310968326052,0.157006139125285,0.101574821431468,0.172396127751515,-0.00299190617953615,0.0128357343342216,0.149493869653488,0.267945656109636,0.975734550323925,1.09802157235361,-0.455980306487095,0.611021157433154,-0.144488360027165,0.334653767045022,-0.217642753601871,0.661761879877956
Momentum30,-0.00114170303908887,0.104713080598773,0.338545918663387,0.222803765798793,0.159312237758261,0.237271875217742,-0.0124285292033092,0.0703877665696913,0.297315805622245,0.475103206888597,1.52460448989555,1.06493655691625,-0.593434365624885,0.653480471855415,-0.140732469401963,0.432672916666667,-0.0534359242879591,1.19605765770109
SMA5,7510.09055205811,9778.38621468926,30806.0637078652,2381.07395031606,1309.99580987051,15793.6011829286,7441.574,9549.93,28828.946,0.952635537560714,9.78380917262768,6.63297382293909,3282.324,16031.852,6821.694,11950.016,10634.192,58315.124
SMA10,7533.62301428283,9727.15694915254,30178.693252809,2392.79746662298,1325.36224247558,15615.8023748679,7450.694,9447.96,27051.7535,0.916723611365866,9.46384746490299,6.52616972087778,3358.474,15459.1957142857,6939.867,11833.252,10676.967,58035.095
SMA20,7583.86810270936,9613.18049717514,28908.6417780899,2418.47678667321,1372.13001048894,15133.0022047866,7499.754,9436.7345,24573.434,0.839086984687269,8.81743988318957,6.25724517521755,3500.0485,15459.1957142857,6730.8745,11756.1435,10689.0145,56684.6935
SMA50,7708.7661888026,9269.52061016949,25303.0902617978,2440.76559780027,1416.85944004556,13262.1986118601,7840.7441,9393.7636,20775.7451,0.639452810533512,7.20852673802513,5.43362239447026,3619.3346,15459.1957142857,6674.473,11271.0544,10834.476,52857.0288
EMA12,7539.27840526229,9701.36222107768,29926.719209204,2357.72735110334,1317.38746877604,15429.8888880121,7536.47970849319,9469.93586122757,26880.0895107097,0.917020288543374,9.49534762510393,6.54439067383741,3456.24791870687,15045.24520229,6852.1279783093,11776.6165406608,10669.4968360152,56817.9759718495
EMA26,7596.01339725424,9546.53675136937,28228.4928372978,2340.48771848699,1326.78741469022,14639.7070485038,7615.8213692711,9407.58389447679,24225.0105817535,0.833383289606,8.8154615284123,6.25498135831607,3529.18054184614,14400.8190604763,6855.41332641391,11507.1667395207,10709.0533027117,55039.6081432651
EMA12Distance,-0.00530219427019714,0.0132822077740664,0.0508907679683563,0.0664821489942467,0.0405459436905554,0.0625601080140991,-0.00229930550827146,0.00653273026879875,0.0474055279975844,0.279539730971569,0.84523384229677,0.941006104052278,-0.393672721173807,0.241545225435906,-0.108750680616668,0.152876716538842,-0.122823943087579,0.231198246886856
EMA26Distance,-0.011098149955595,0.0311517523199037,0.114043752881224,0.100548379849945,0.0612303895529267,0.0919623127948303,-0.00939467923965753,0.0168380040632281,0.104657439384404,0.420194759364111,1.24459392606402,0.914607604141131,-0.438060267570179,0.377163830449287,-0.110281757906566,0.228141209763131,-0.0748640719289844,0.409709931591283
