Date,Close,ActualReturn,PredictedReturn,Signal,Position,GrossStrategyReturn,TransactionCost,NetStrategyReturn,StrategyEquity,BuyHoldEquity
05-Oct-2020,10792.21,-0.0178415727640584,-0.000380068951873966,HOLD,0,-0,0,-0,10000,9821.58427235942
06-Oct-2020,10599.66,0.00629548494951715,0.00286705077261567,HOLD,0,0,0,0,10000,9883.41590832647
07-Oct-2020,10666.39,0.0242987552489642,-0.00129138183343767,HOLD,0,0,0,0,10000,10123.5706125066
08-Oct-2020,10925.57,0.0114474576612478,-0.0015322901428672,HOLD,0,0,0,0,10000,10239.4597584739
09-Oct-2020,11050.64,0.0219516697675428,0.00102180341096872,HOLD,0,0,0,0,10000,10464.23299769
10-Oct-2020,11293.22,0.00671199179684812,-0.00119855439259109,HOLD,0,0,0,0,10000,10534.4688437308
11-Oct-2020,11369.02,0.014005604704715,0.00135842607347918,HOLD,0,0,0,0,10000,10682.0104501302
12-Oct-2020,11528.25,-0.00934140047275178,0.000123607272794318,HOLD,0,-0,0,-0,10000,10582.2255126614
13-Oct-2020,11420.56,-0.000233788886009112,0.00249466188165289,HOLD,0,-0,0,-0,10000,10579.7515059473
14-Oct-2020,11417.89,0.00763976531565835,0.000389147924025915,HOLD,0,0,0,0,10000,10660.5783245508
15-Oct-2020,11505.12,-0.0161493317757661,-0.000323637752408088,HOLD,0,-0,0,-0,10000,10488.4171082661
16-Oct-2020,11319.32,0.00361152436718815,0.00269291710563916,HOLD,0,0,0,0,10000,10526.2962822258
17-Oct-2020,11360.2,0.0125825249555465,-0.00111728753124532,HOLD,0,0,0,0,10000,10658.7436678864
18-Oct-2020,11503.14,0.0215880185757975,-0.000783917988740633,HOLD,0,0,0,0,10000,10888.8448241834
19-Oct-2020,11751.47,0.0134893762227195,-0.000812373143778369,HOLD,0,0,0,0,10000,11035.7285486476
20-Oct-2020,11909.99,0.0731293645082824,0.000188098090533589,HOLD,0,0,0,0,10000,11842.7643642961
21-Oct-2020,12780.96,0.0146749539940663,-0.00568088062949652,HOLD,0,0,0,0,10000,12016.5563865047
22-Oct-2020,12968.52,-0.0035046404678406,0.00391716214716267,HOLD,0,-0,0,-0,10000,11974.4426767085
23-Oct-2020,12923.07,0.0145986982969217,0.00276421978889416,HOLD,0,0,0,0,10000,12149.2539526195
24-Oct-2020,13111.73,-0.00632258290858645,-0.000740317826527384,HOLD,0,-0,0,-0,10000,12072.4392872266
25-Oct-2020,13028.83,0.00179294687243603,0.00336984997117021,HOLD,0,0,0,0,10000,12094.0845294893
26-Oct-2020,13052.19,0.04474191687372,0.000218009758032369,HOLD,0,0,0,0,10000,12635.1970541715
27-Oct-2020,13636.17,-0.0271168517259612,-0.00401991850821794,HOLD,0,-0,0,-0,10000,12292.5702891252
28-Oct-2020,13266.4,0.0142691310378098,0.00612776539126671,HOLD,0,0,0,0,10000,12467.9745853722
29-Oct-2020,13455.7,0.00775879367108367,-0.00244335868131999,HOLD,0,0,0,0,10000,12564.7110276764
30-Oct-2020,13560.1,0.0170278980243508,0.000367510626216678,HOLD,0,0,0,0,10000,12778.6616457612
31-Oct-2020,13791,-0.0021390762091219,0.000159111028270143,HOLD,0,-0,0,-0,10000,12751.3271146503
01-Nov-2020,13761.5,-0.0154147440322638,0.00119364387624581,HOLD,0,-0,0,-0,10000,12554.7686711063
02-Nov-2020,13549.37,0.0349949850066829,0.00220659606052063,HOLD,0,0,0,0,10000,12994.122612514
03-Nov-2020,14023.53,0.00859127480741284,-0.00386804457824858,HOLD,0,0,0,0,10000,13105.7586907594
04-Nov-2020,14144.01,0.102234797628113,0.00190709312701697,HOLD,0,0,0,0,10000,14445.623278272
05-Nov-2020,15590.02,-0.000647850355548041,-0.00889337732414398,HOLD,0,-0,0,-0,10000,14436.2646760951
06-Nov-2020,15579.92,-0.0488847182783995,0.00665969722151227,HOLD,0,-0,0,-0,10000,13730.5519444118
07-Nov-2020,14818.3,0.0443235728794802,0.00679499926232993,HOLD,0,0,0,0,10000,14339.1390641954
08-Nov-2020,15475.1,-0.00947909868110708,-0.0066841201358604,HOLD,0,-0,0,-0,10000,14203.2169500038
09-Nov-2020,15328.41,-0.00203543616069768,0.0056773962466511,HOLD,0,-0,0,-0,10000,14174.3072086255
10-Nov-2020,15297.21,0.0253006920869885,0.000275348275275827,HOLD,0,0,0,0,10000,14532.9269908573
11-Nov-2020,15684.24,0.0387407996817188,-0.00323542663540167,HOLD,0,0,0,0,10000,15095.9442041992
12-Nov-2020,16291.86,0.00177020917194226,-0.00100263205749651,HOLD,0,0,0,0,10000,15122.6671830886
13-Nov-2020,16320.7,-0.0153332884006201,0.00265361284399889,HOLD,0,-0,0,-0,10000,14890.7869657837
14-Nov-2020,16070.45,-0.00705954095871619,0.00234864385460322,HOLD,0,-0,0,-0,10000,14785.6648452912
15-Nov-2020,15957,0.0474130475653318,0.000701176221890512,HOLD,0,0,0,0,10000,15486.698275886
16-Nov-2020,16713.57,0.0565893462617502,-0.0040925577234594,HOLD,0,0,0,0,10000,16363.0804070714
17-Nov-2020,17659.38,0.00661065111006143,-0.00228882256755207,HOLD,0,0,0,0,10000,16471.2510227284
18-Nov-2020,17776.12,0.00150201506290459,0.00337079714591902,HOLD,0,0,0,0,10000,16495.9910898695
19-Nov-2020,17802.82,0.04790533185192,0.00110289680304934,HOLD,0,0,0,0,10000,17286.237017256
20-Nov-2020,18655.67,0.00257991270214375,-0.00312288095393453,HOLD,0,0,0,0,10000,17330.8339997091
21-Nov-2020,18703.8,-0.0154711876730931,0.00427557174297089,HOLD,0,-0,0,-0,10000,17062.7054143683
22-Nov-2020,18414.43,-0.00252139219079817,0.00262601327414224,HOLD,0,-0,0,-0,10000,17019.6836421827
23-Nov-2020,18368,0.0431190113240418,-0.000207969569778097,HOLD,0,0,0,0,10000,17753.5555738815
24-Nov-2020,19160.01,-0.0230114702445352,-0.00320175663184659,HOLD,0,-0,0,-0,10000,17345.0201580585
25-Nov-2020,18719.11,-0.0838522771648865,0.00532321095451511,HOLD,0,-0,0,-0,10000,15890.6007203344
26-Nov-2020,17149.47,-0.000580192857272066,0.00724852459132747,HOLD,0,-0,0,-0,10000,15881.3811072987
27-Nov-2020,17139.52,0.033859174585986,-0.00500220097655556,HOLD,0,0,0,0,10000,16419.1115628773
28-Nov-2020,17719.85,0.0262496578695646,-0.00294722271557662,HOLD,0,0,0,0,10000,16850.1076239251
29-Nov-2020,18184.99,0.0830839060125959,-0.000726067316787549,HOLD,0,0,0,0,10000,18250.0803820534
30-Nov-2020,19695.87,-0.0472642234133349,-0.00753564520639552,HOLD,0,-0,0,-0,10000,17387.5045055647
01-Dec-2020,18764.96,0.0234015953138189,0.010502851477848,BUY,1,0.0234015953138189,0.001,0.0224015953138189,10224.0159531382,17794.3998495211
02-Dec-2020,19204.09,0.0113418547819761,-0.00339028344157751,HOLD,0,0,0.001,-0.001,10213.7919371851,17996.2213485468
03-Dec-2020,19421.9,-0.0397170204768844,0.000967034663626874,HOLD,0,-0,0,-0,10213.7919371851,17281.46505674
04-Dec-2020,18650.52,0.0266555570568541,0.00677807627073256,HOLD,0,0,0,0,10213.7919371851,17742.112134586
05-Dec-2020,19147.66,0.0110582703056143,-0.00554066341691425,HOLD,0,0,0,0,10213.7919371851,17938.3092063627
06-Dec-2020,19359.4,-0.0099434899841937,0.00107301602110054,HOLD,0,-0,0,-0,10213.7919371851,17759.9398084359
07-Dec-2020,19166.9,-0.0439711168733599,0.00243312627918556,HOLD,0,-0,0,-0,10213.7919371851,16979.0154194553
08-Dec-2020,18324.11,0.0118515987952483,0.00341799584235561,HOLD,0,0,0,0,10213.7919371851,17180.2438981451
09-Dec-2020,18541.28,-0.0154600976847337,-0.00308242473033181,HOLD,0,-0,0,-0,10213.7919371851,16914.6356492322
10-Dec-2020,18254.63,-0.0119476538280975,0.00242427359243648,HOLD,0,-0,0,-0,10213.7919371851,16712.5454378668
11-Dec-2020,18036.53,0.0428108954438575,0.000397685698973156,HOLD,0,0,0,0,10213.7919371851,17428.024473208
12-Dec-2020,18808.69,0.0194750405264803,-0.00559469852553172,HOLD,0,0,0,0,10213.7919371851,17767.4359561202
13-Dec-2020,19174.99,0.00511864673723417,0.0012284836560689,HOLD,0,0,0,0,10213.7919371851,17858.381184206
14-Dec-2020,19273.14,0.00795355608894033,0.00114166322605913,HOLD,0,0,0,0,10213.7919371851,18000.4188206123
15-Dec-2020,19426.43,0.098272816981813,-7.44227584897605e-05,HOLD,0,0,0,0,10213.7919371851,19769.3706849663
16-Dec-2020,21335.52,0.0685073529963178,-0.00784690898696621,HOLD,0,0,0,0,10213.7919371851,21123.7179409963
17-Dec-2020,22797.16,0.0136082740130787,0.000255656609052383,HOLD,0,0,0,0,10213.7919371851,21411.1752829124
18-Dec-2020,23107.39,0.0309087266021824,0.00433905151165753,HOLD,0,0,0,0,10213.7919371851,22072.9674459633
19-Dec-2020,23821.61,-0.0153679789065475,-0.000839142769915239,HOLD,0,-0,0,-0,10213.7919371851,21733.7505478489
20-Dec-2020,23455.52,-0.0313704407320751,0.00604690376367683,HOLD,0,-0,0,-0,10213.7919371851,21051.9532144019
21-Dec-2020,22719.71,0.0480235002999598,0.00417962732106408,HOLD,0,0,0,0,10213.7919371851,22062.9416959084
22-Dec-2020,23810.79,-0.0242759690039684,-0.00612396932015991,HOLD,0,-0,0,-0,10213.7919371851,21527.3424071622
23-Dec-2020,23232.76,0.0213681026274968,0.00605898987106804,HOLD,0,0,0,0,10213.7919371851,21987.3408690157
24-Dec-2020,23729.2,0.0414371323095595,-0.00317895559241246,HOLD,0,0,0,0,10213.7919371851,22898.4332217405
25-Dec-2020,24712.47,0.0720656413543446,-0.00313397346311291,HOLD,0,0,0,0,10213.7919371851,24548.6234978749
26-Dec-2020,26493.39,-0.00799180474827865,-0.00300609163834131,HOLD,0,-0,0,-0,10213.7919371851,24352.4356920408
27-Dec-2020,26281.66,0.0303538665365886,0.00559297613397459,HOLD,0,0,0,0,10213.7919371851,25091.6262748779
28-Dec-2020,27079.41,0.0112849578332763,-0.00194149520358408,HOLD,0,0,0,0,10213.7919371851,25374.7842193582
29-Dec-2020,27385,0.0544290670074858,0.00205494862478383,HOLD,0,0,0,0,10213.7919371851,26755.9100499342
30-Dec-2020,28875.54,0.00166542339987408,-0.00256004398598206,HOLD,0,0,0,0,10213.7919371851,26800.4699686162
31-Dec-2020,28923.63,0.0141081876652411,0.00360788142228754,HOLD,0,0,0,0,10213.7919371851,27178.5760284501
01-Jan-2021,29331.69,0.0970499824592448,0.000219436147574103,HOLD,0,0,0,0,10213.7919371851,29816.2563552785
02-Jan-2021,32178.33,0.0255364402068101,-0.00794191704654613,HOLD,0,0,0,0,10213.7919371851,30577.657402886
03-Jan-2021,33000.05,-0.0306466202323937,0.0051566857255167,HOLD,0,-0,0,-0,10213.7919371851,29640.5555488635
04-Jan-2021,31988.71,0.0612972514365224,0.00593143094936937,HOLD,0,0,0,0,10213.7919371851,31457.4401350604
05-Jan-2021,33949.53,0.0830594709264016,-0.00686850625330622,HOLD,0,0,0,0,10213.7919371851,34070.2784693774
06-Jan-2021,36769.36,0.0724222559217782,-0.00224092876188209,HOLD,0,0,0,0,10213.7919371851,36537.7248960129
07-Jan-2021,39432.28,0.0291773643319635,-0.000534613650154224,HOLD,0,0,0,0,10213.7919371851,37603.799407165
08-Jan-2021,40582.81,-0.01218717974433,0.00229504536858027,HOLD,0,-0,0,-0,10213.7919371851,37145.5151447201
09-Jan-2021,40088.22,-0.0483483676750927,0.00545178121230641,HOLD,0,-0,0,-0,10213.7919371851,35349.5901210225
10-Jan-2021,38150.02,-0.0719671968717185,0.00643720959466961,HOLD,0,-0,0,-0,10213.7919371851,32805.5792094483
11-Jan-2021,35404.47,-0.0382220098196641,0.00581734800919317,HOLD,0,-0,0,-0,10213.7919371851,31551.684038765
12-Jan-2021,34051.24,0.0975042318576358,-0.000260893835033233,HOLD,0,0,0,0,10213.7919371851,34628.1067547796
13-Jan-2021,37371.38,0.0474459332248369,-0.0126096422173882,SELL,-1,-0.0474459332248369,0.001,-0.0484459332248369,9718.97525502381,36271.0695955694
14-Jan-2021,39144.5,-0.0613695410594081,0.000336304157970136,HOLD,0,-0,0.001,-0.001,9709.25627976878,34045.1307007555
15-Jan-2021,36742.22,-0.0203373666588463,0.00874089543169966,HOLD,0,-0,0,-0,9709.25627976878,33352.7423947458
16-Jan-2021,35994.98,-0.00462203340576939,-0.00161900740353048,HOLD,0,-0,0,-0,9709.25627976878,33198.5849052233
17-Jan-2021,35828.61,0.0224027669507691,0.00103753058390457,HOLD,0,0,0,0,9709.25627976878,33942.3250659504
18-Jan-2021,36631.27,-0.0201953140035822,-0.00147419993432963,HOLD,0,-0,0,-0,9709.25627976878,33256.8491532318
19-Jan-2021,35891.49,-0.0117927675891972,0.00243326928832495,HOLD,0,-0,0,-0,9709.25627976878,32864.6588604188
20-Jan-2021,35468.23,-0.130203847217637,4.97641656514283e-05,HOLD,0,-0,0,-0,9709.25627976878,28585.553839297
21-Jan-2021,30850.13,0.0679102486764236,0.0121872850791063,BUY,1,0.0679102486764236,0.001,0.0669102486764236,10358.9050319112,30526.805909077
22-Jan-2021,32945.17,-0.0263216125459361,-0.0141477403068751,SELL,-1,0.0263216125459361,0.002,0.0243216125459361,10610.8503064975,29723.2911516733
23-Jan-2021,32078,0.00567055302699671,0.00556838841431524,HOLD,0,0,0.001,-0.001,10600.239456191,29891.8386502857
24-Jan-2021,32259.9,-0.000176689946342123,-0.0016982838673336,HOLD,0,-0,0,-0,10600.239456191,29886.5570629185
25-Jan-2021,32254.2,0.00662146325129753,-0.00199871313871141,HOLD,0,0,0,0,10600.239456191,30084.4498022184
26-Jan-2021,32467.77,-0.0647294224395454,0.00107450419862392,HOLD,0,-0,0,-0,10600.239456191,28137.1007421094
27-Jan-2021,30366.15,0.0987517350734288,0.00662000669090938,HOLD,0,0,0,0,10600.239456191,30915.6882603285
