Index,Factor
1,Sentiment
2,SampleSize
3,SentimentRegime
4,Return
5,ReturnLag1
6,ReturnLag2
7,ReturnLag3
8,ReturnLag5
9,ReturnLag7
10,Momentum3
11,Momentum5
12,Momentum7
13,Momentum14
14,SMA5
15,SMA50
16,RSI14
17,MACD
18,MACDHistogram
19,Volatility5
20,Volatility10
21,Volatility20
22,Volatility30
23,ATR14
24,ATR14Normalized
25,DailyRange
26,VolumeChange
27,VolumeSMA20
28,VolumeRelative
29,SentimentLag1
30,SentimentLag3
31,SentimentLag7
32,SentimentMA3
33,SentimentMA7
34,SentimentMA14
35,SentimentChange
