Factor,Coefficient,AbsoluteCoefficient
LogReturn,-0.000137325769898762,0.000137325769898762
Return,-0.000127999058885886,0.000127999058885886
ReturnLag1,0.000105608329904892,0.000105608329904892
SentimentReturnInteraction,8.66870194670329e-05,8.66870194670329e-05
SMA10,-6.84043829661786e-05,6.84043829661786e-05
SMA20,-6.79677830407463e-05,6.79677830407463e-05
EMA12,-6.79398124876649e-05,6.79398124876649e-05
SMA5,-6.71402283541961e-05,6.71402283541961e-05
EMA26,-6.65305153006141e-05,6.65305153006141e-05
SentimentLag7,-6.34362614981175e-05,6.34362614981175e-05
SMA50,-5.72540791348171e-05,5.72540791348171e-05
DailyRange,5.53663933131406e-05,5.53663933131406e-05
ReturnLag5,4.85222192074202e-05,4.85222192074202e-05
Volatility10,4.8509736876091e-05,4.8509736876091e-05
SentimentMA14,-4.84208184830699e-05,4.84208184830699e-05
RSI14,4.64216261112102e-05,4.64216261112102e-05
ReturnLag7,-4.49305131876354e-05,4.49305131876354e-05
ATR14Normalized,3.98988391204142e-05,3.98988391204142e-05
SentimentChange,-3.62389389291986e-05,3.62389389291986e-05
SentimentMA7,-3.58794959169161e-05,3.58794959169161e-05
VolumeSMA20,3.3629472273279e-05,3.3629472273279e-05
Volatility20,3.35733772216909e-05,3.35733772216909e-05
Momentum30,-2.60282323076656e-05,2.60282323076656e-05
Sentiment,-2.58546278007258e-05,2.58546278007258e-05
MACDSignal,-2.54708642059296e-05,2.54708642059296e-05
ReturnLag3,2.35330177058826e-05,2.35330177058826e-05
VolumeChange,-2.1565391509852e-05,2.1565391509852e-05
Volatility30,2.082108886779e-05,2.082108886779e-05
Volatility5,1.91118109956551e-05,1.91118109956551e-05
MACD,-1.86160529368341e-05,1.86160529368341e-05
SentimentMomentumInteraction,1.73669419783725e-05,1.73669419783725e-05
MACDHistogram,1.72379179843979e-05,1.72379179843979e-05
SentimentLag3,-1.63786889250701e-05,1.63786889250701e-05
Momentum7,1.51263845599471e-05,1.51263845599471e-05
EMA12Distance,-1.50665535990945e-05,1.50665535990945e-05
ATR14,-1.50627396503544e-05,1.50627396503544e-05
SentimentMA3,-1.50436684969747e-05,1.50436684969747e-05
ReturnLag2,1.35100778153473e-05,1.35100778153473e-05
Momentum5,1.18203241921599e-05,1.18203241921599e-05
EMA26Distance,-1.14493001864721e-05,1.14493001864721e-05
SMA50Distance,-1.0172457315052e-05,1.0172457315052e-05
SentimentLag1,9.64647616766859e-06,9.64647616766859e-06
Momentum14,-8.93384264283539e-06,8.93384264283539e-06
SMA20Distance,-4.90827085890356e-06,4.90827085890356e-06
Momentum3,-3.49743634228346e-06,3.49743634228346e-06
VolumeRelative,-1.0890284941035e-06,1.0890284941035e-06
SentimentRegime,9.26036853373773e-07,9.26036853373773e-07
