Metric,Value
Model,Multivariate Ridge Factor Model
NumberOfFactors,47
SelectedLambda,31.6227766016838
SelectedThreshold,0.0013
MinimumValidationTrades,4
TrainRMSE,0.0409222107352649
ValidationRMSE,0.0293146507705643
ValidationMAE,0.019822043636304
ValidationR2,-0.00657555801794518
ValidationDirectionalAccuracy,0.508474576271186
ValidationReturn,0.139616352507151
ValidationSharpe,2.76089228305307
TestRMSE,0.0431354268268112
TestMAE,0.0313473361784707
TestMSE,0.00186066504753118
TestR2,-0.107155531845869
TestDirectionalAccuracy,0.404494382022472
PredictionCorrelation,0.0809728617080268
StrategyReturn,-0.749496436780446
StrategySharpe,-3.57334989397549
StrategySortino,-2.70749068300937
StrategyMaxDrawdown,-0.765196051207403
StrategyWinRate,0.427350427350427
StrategyProfitFactor,0.532983507740147
StrategyTrades,17
StrategyFinalCapital,2505.03563219554
BuyHoldReturn,4.43546251077887
BuyHoldSharpe,4.82427459808247
BuyHoldMaxDrawdown,-0.251748461971953
BuyHoldFinalCapital,54354.6251077887
